ID,Included from paper (ID),Snowballing Direction,Title,Authors,Venue,Venue Type,Year,I1,I2,I3,E1,E2,E3,E4,E5,E6,Included,Notes
AZHT26VR,2A3BQM5I,B,Energy optimization in Android applications through wakelock placement,"Alam, Faisal; Panda, Preeti Ranjan; Tripathi, Nikhil; Sharma, Namita; Narayan, Sanjiv","2014 Design, Automation & Test in Europe Conference & Exhibition (DATE)",C,2014,x,x,x,,,,,,,x,Paper proposes the use of wakelocks to manage a mobile phone’s energy from an application’s code.
4KGZLD99,2A3BQM5I,B,Calculating source line level energy information for android applications,"Li, Ding; Hao, Shuai; Halfond, William GJ; Govindan, Ramesh",Proceedings of the 2013 International Symposium on Software Testing and Analysis,C,2013,x,x,x,,,,,,,x,"Paper “presented our approach for calculating the source line level energy consumption of Android applications.” (Li et al., 2013, p. 87)"
IHN8YLLL,2A3BQM5I,B,An empirical study of the energy consumption of android applications,"Li, Ding; Hao, Shuai; Gui, Jiaping; Halfond, William GJ",2014 IEEE International Conference on Software Maintenance and Evolution,C,2014,x,x,x,,,,,,,x,"Paper provides “developers with objective information about how energy is consumed by a broad sample of mobile applications and can guide them in their efforts of improving the energy efficiency of their applications. Keywords—Mobile” (Li et al., 2014, p. 121)"
44IANVHH,2A3BQM5I,B,Managing the energy-delay tradeoff in mobile applications with tempus,"Nikzad, Nima; Radi, Marjan; Chipara, Octav; Griswold, William G.",Proceedings of the 16th Annual Middleware Conference,C,2015,x,x,x,,,,,,,x,"Paper proposes Tempus, a framework that “saves power by enabling programmers to annotate power-hungry operations with states that specify when the operation can be executed to save energy.” (Nikzad et al., 2015, p. 259)"
2UXA9MJ2,2A3BQM5I,B,An investigation into energy-saving programming practices for android smartphone app development,"Li, Ding; Halfond, William GJ",Proceedings of the 3rd International Workshop on Green and Sustainable Software,C,2014,x,x,x,,,,,,,x,"Paper “conducted a small-scale empirical evaluation of commonly suggested energy-saving and performance-enhancing coding practices.” (Li and Halfond, 2014, p. 46)"
G9ZC4CU8,2A3BQM5I,B,"Android app energy efficiency: The impact of language, runtime, compiler, and implementation","Chen, Xinbo; Zong, Ziliang","2016 IEEE international conferences on big data and cloud computing (BDCloud), social computing and networking (socialcom), sustainable computing and communications (sustaincom)(BDCloud/SocialCom/SustainCom)",C,2016,x,x,x,,,,,,,x,"“Paper makes contributions towards answering the question most Android app developers are facing: How to reduce the energy consumption of my app?” (Chen and Zong, 2016, p. 492)"
BAEDN8AK,2A3BQM5I,B,Automated energy optimization of http requests for mobile applications,"Li, Ding; Lyu, Yingjun; Gui, Jiaping; Halfond, William GJ",2016 IEEE/ACM 38th International Conference on Software Engineering (ICSE),C,2016,x,x,x,,,,,,,x,Paper proposes to use static analysis of code to bundle the code’s HTTP requests in order to save energy.
DVMM6IHF,2A3BQM5I,B,Self-adaptive battery and context aware mobile application development,"Datta, Soumya Kanti; Bonnet, Christian; Nikaein, Navid",2014 International Wireless Communications and Mobile Computing Conference (IWCMC),C,2014,x,x,x,,,,,,,x,Paper proposes for application developers to use a mobile device’s energy modes in their applications to increase energy efficiency.
WHTE3NZ8,2A3BQM5I,B,Optimization in power usage of smartphones,"Naik, Balaji A.; Chavan, R. K.",International Journal of Computer Applications,J,2015,x,x,x,,,,,,,x,Paper proposes several techniques at the application level to improve energy efficiency.
LI3HIYWS,HFGU26NT,B,Green: A framework for supporting energy-conscious programming using controlled approximation,"Baek, Woongki; Chilimbi, Trishul M.",Proceedings of the 31st ACM SIGPLAN Conference on Programming Language Design and Implementation,C,2010,x,x,x,,,,,,,x,Paper proposes a framework that allows programmers to take advantage of approximation opportunities in a systematic manner while providing statistical QoS guarantees.
37QLWH7J,HFGU26NT,B,Green software requirements and measurement: random decision forests-based software energy consumption profiling,"Beghoura, Mohamed Amine; Boubetra, Abdelhak; Boukerram, Abdallah",Requirements Engineering,J,2017,x,x,x,,,,,,,x,Paper proposed a machine learning based energy profiling tool that provided relevant information on the energy consumption of software applications.
32N22PF9,HFGU26NT,B,"Software-based energy profiling of android apps: Simple, efficient and reliable?","Di Nucci, Dario; Palomba, Fabio; Prota, Antonio; Panichella, Annibale; Zaidman, Andy; De Lucia, Andrea","2017 IEEE 24th international conference on software analysis, evolution and reengineering (SANER)",C,2017,x,x,x,,,,,,,x,"Paper “proposes PETRA, a new Android-specific tool for estimating the energy consumption of mobile applications.” (Di Nucci et al., 2017, p. 11)"
VABHQVAY,HFGU26NT,B,Seflab: A lab for measuring software energy footprints,"Ferreira, Miguel A.; Hoekstra, Eric; Merkus, Bo; Visser, Bram; Visser, Joost",2013 2nd International workshop on green and sustainable software (GREENS),C,2013,x,x,x,,,,,,,x,"Paper proposes the “SEFLab setup, which caters for comparing applications on energy dissipation.” (Ferreira et al., 2013, p. 9)"
G4AEGEBJ,HFGU26NT,B,A source-level energy optimization framework for mobile applications,"Li, Xueliang; Gallagher, John P.",2016 IEEE 16th International Working Conference on Source Code Analysis and Manipulation (SCAM),C,2016,x,x,x,,,,,,,x,"Paper “propose an energy optimization framework guided by a source code energy model that allows developers to be aware of energy usage induced by the code and to apply very targeted source-level refactoring strategies.” (Li and Gallagher, 2016, p. 1)"
IWFUWMJD,HFGU26NT,B,Investigating Energy and Security Trade-offs in the Classroom with the Atom ${$LEAP$}$ Testbed,"Peterson, Peter AH; Singh, Digvijay; Kaiser, William J.; Reiher, Peter L.",4th Workshop on Cyber Security Experimentation and Test (CSET 11),C,2011,x,x,x,,,,,,,x,"Paper tests the Atom Leap in a classroom setting to measure its accuracy and usability. This measuring framework allows us “to measure small code segments in the kernel or in user space.” (Peterson et al., 2011, p. 1)"
